,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,962,986,963,966,967,3216,0,1023,874,0
,1013,962,946,964,964,0,3073,1096,961,0
,962,994,950,964,964,0,2014,1183,886,0
,951,978,982,964,964,0,0,1061,862,3238
,999,971,991,965,967,0,3077,1095,888,0
,957,956,963,967,964,0,2324,976,963,0
,948,970,976,970,967,0,2094,954,930,1166
,961,967,950,964,964,0,0,1112,938,3144
,981,958,976,964,964,0,2096,1150,852,0
,963,963,957,967,967,0,0,925,984,3234
,946,1009,971,964,967,0,3071,882,1123,0
,979,969,972,964,964,0,0,1098,868,3186
,1030,1002,970,964,964,1943,0,875,1165,0
,943,951,968,967,967,0,1996,910,1178,0
,960,960,976,967,965,3131,0,1082,896,0
,946,944,949,964,964,0,3214,991,1028,0
,951,967,963,963,962,0,3030,1251,913,0
,964,942,975,967,967,2196,1014,1028,947,0
,985,990,999,967,967,0,1982,854,1183,0
,958,976,956,964,964,0,0,1037,866,3279
,961,1005,952,964,964,0,0,908,1033,3203
,1014,943,954,964,962,0,0,1089,927,2214
,968,984,958,965,964,0,0,864,1019,2236
,962,964,992,968,967,0,2047,1106,999,0
,957,983,946,964,964,0,3235,986,962,0
,960,951,962,970,968,0,935,984,997,2273
,933,968,952,964,964,0,2102,1079,977,0
,967,980,987,964,967,0,0,1000,948,2190
,939,976,987,970,970,2015,1111,870,984,0
,965,996,974,967,967,1040,2254,886,951,0
,964,984,982,967,964,3048,0,1174,910,0
,991,940,966,962,964,3166,0,1119,882,0
,965,942,949,967,964,0,0,908,996,3308
,991,992,959,967,967,0,2050,945,1114,0
,964,937,1001,964,964,0,3147,930,1093,0
,986,979,954,964,964,0,2007,1188,943,0
,942,961,962,962,964,0,2091,1074,982,0
,983,1007,955,967,967,1952,1360,888,896,0
,935,983,953,964,964,0,2112,1149,862,0
,944,944,954,964,967,0,1981,979,1153,0
